model_number,image_url
HS381-93,http://images.lbllighting.com/Configurator/8/products/large/hover_pendant_satin_nickel.jpg
HS590-94,http://images.lbllighting.com/Configurator/8/products/large/fiona_pendant_linen.jpg
HS590-94,http://images.lbllighting.com/Configurator/8/products/large/fiona_pendant_pebble.jpg
HS590-94,http://images.lbllighting.com/Configurator/8/products/large/fiona_pendant_pewter.jpg
HS2931-95,http://images.lbllighting.com/Configurator/8/products/large/tube_1_pendant_frost.jpg
HS2932-96,http://images.lbllighting.com/Configurator/8/products/large/tube_2_pendant_frost.jpg
HS2933-97,http://images.lbllighting.com/Configurator/8/products/large/tube_3_pendant_frost.jpg
HS781-98,http://images.lbllighting.com/Configurator/8/products/large/lexum_pendant_bronze.jpg
HS781-98,http://images.lbllighting.com/Configurator/8/products/large/lexum_pendant_satin_nickel.jpg
LP844-99,http://images.lbllighting.com/Configurator/8/products/large/amphora_pendant_brushed_aluminum_gloss_white.jpg
LP844-99,http://images.lbllighting.com/Configurator/8/products/large/amphora_pendant_gloss_white_brushed_aluminum.jpg
LP882-100,http://images.lbllighting.com/Configurator/8/products/large/dolly_grande_pendant_rubberized_black_exterior_black_crystal_interior.jpg
LP882-100,http://images.lbllighting.com/Configurator/8/products/large/dolly_grande_pendant_satin_nickel_exterior_clear_crystal_interior.jpg
LP882-100,http://images.lbllighting.com/Configurator/8/products/large/dolly_grande_pendant_satin_nickel_exterior_gold_crystal_interior.jpg
LP874-101,http://images.lbllighting.com/Configurator/8/products/large/erlen_pendant_mercury.jpg
LP875-102,http://images.lbllighting.com/Configurator/8/products/large/loft_grande_pendant_brushed_aluminum_-_copper_cage.jpg
LP875-102,http://images.lbllighting.com/Configurator/8/products/large/loft_grande_pendant_brushed_aluminum_-_polished_nickel_cage.jpg
LP875-102,http://images.lbllighting.com/Configurator/8/products/large/loft_grande_pendant_brushed_aluminum_-_white_cage.jpg
LP875-102,http://images.lbllighting.com/Configurator/8/products/large/loft_grande_pendant_brushed_aluminum_w__white_interior.jpg
